event,count,pct_rows,category,description,intuition,leakage_risk,modeling_recommendation,importance_score,importance_rank
agent_block_created,1110,0.0316,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,80
agent_tool_call_apply_script_template_tool,781,0.0223,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,81
agent_tool_call_create_script_tool,700,0.0199,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,82
agent_tool_call_get_block_image_tool,600,0.0171,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,83
agent_tool_call_list_executor_images_tool,509,0.0145,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,84
agent_tool_call_get_constants_tool,219,0.0062,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,85
agent_tool_call_get_connections_tool,184,0.0052,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,86
agent_message_feedback,61,0.0017,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,87
agent_tool_call_add_constant_to_canvas_tool,37,0.0011,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,88
agent_tool_call_add_connection_to_canvas_tool,26,0.0007,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,76,89
deployment_credit_limit_modal,8,0.0002,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",76,90
source_control_disconnect_from_canvas,6,0.0002,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,74,91
notebook_view_canvas_toggle,9280,0.2644,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,92
block_output_copy,4972,0.1417,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,93
edge_create,3078,0.0877,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,94
block_resize,2920,0.0832,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,95
files_download,2508,0.0715,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,96
stop_block,1872,0.0533,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,97
block_rename,1712,0.0488,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,98
canvas_open,1006,0.0287,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,73,99
quickstart_upload_file,952,0.0271,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,100
block_open_compute_settings,928,0.0264,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,101
block_copy,894,0.0255,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,102
block_output_download,781,0.0223,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,103
files_update_lazy_load,767,0.0219,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,104
run_upto_block,628,0.0179,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,105
canvas_share,484,0.0138,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,106
stop_all_blocks,483,0.0138,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,107
notebook_import,419,0.0119,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,108
canvas_publish_to_community,412,0.0117,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,109
run_from_block,401,0.0114,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,110
canvas_onboarding_tour_started,395,0.0113,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,111
canvas_onboarding_tour_running_blocks_step,368,0.0105,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,112
canvas_onboarding_tour_finished,342,0.0097,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,113
files_create_folder,306,0.0087,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,114
canvas_onboarding_tour_code_and_variables_step,271,0.0077,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,115
canvas_onboarding_tour_compute_step,261,0.0074,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,116
canvas_onboarding_tour_add_block_step,256,0.0073,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,117
layer_create,250,0.0071,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,118
canvas_onboarding_tour_you_are_ready_step,243,0.0069,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,119
folder_open,241,0.0069,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,120
block_environment_selected,228,0.0065,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,121
canvas_clone,153,0.0044,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,122
requirements_build,129,0.0037,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,123
clone_gallery_canvas,122,0.0035,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,124
asset_create_connection,114,0.0032,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,125
folder_create,105,0.003,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,126
block_paste,99,0.0028,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,127
notebook_report_create,98,0.0028,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,128
layer_rename,97,0.0028,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,129
asset_add_to_canvas,57,0.0016,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,130
layer_duplicate,41,0.0012,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,131
canvas_rename,32,0.0009,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,132
app_create_page,14,0.0004,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,133
persistent_executor_used,14,0.0004,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,134
deployment_limit_modal,12,0.0003,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,135
api_download_source,9,0.0003,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,136
hosted_apps_create,5,0.0001,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,72,137
agent_worker_created,35159,1.0018,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,71,138
agent_new_chat,15319,0.4365,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,71,139
notebook_deployment_undeployed,272,0.0078,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,70,140
notebook_deployment_preview_undeployed,68,0.0019,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,70,141
api_undeploy,20,0.0006,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,70,142
agent_tool_call_delete_block_tool,5509,0.157,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,143
agent_start_from_prompt,4057,0.1156,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,144
agent_accept_suggestion,2904,0.0827,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,145
agent_open_error_assist,2294,0.0654,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,146
agent_upload_files,1899,0.0541,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,147
agent_ask_ai_open,1798,0.0512,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,148
agent_ask_ai_accepted,1076,0.0307,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,69,149
agent_open,767,0.0219,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,150
agent_surprise_me,382,0.0109,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,151
canvas_onboarding_tour_ai_assistant_step,254,0.0072,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,152
agent_suprise_me,175,0.005,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,153
agent_retry_message_button_clicked,156,0.0044,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,154
agent_block_run,81,0.0023,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,155
agent_voice_to_text,81,0.0023,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,156
agent_ask_ai_rejected,77,0.0022,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,68,157
asset_share,13,0.0004,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,66,158
signup_from_community_canvas,5,0.0001,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,66,159
signup_with_community_canvas,2,0.0001,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,66,160
block_delete,7802,0.2223,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,65,161
edge_delete,1615,0.046,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,65,162
files_delete,1109,0.0316,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,65,163
canvas_delete,459,0.0131,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,164
layer_delete,135,0.0038,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,165
